Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
2019-07-01,15987.0,9962.0,407.0,21223.0,3715.0,1.0
2019-07-02,16895.0,10656.0,409.0,21715.0,3993.0,1.0
2019-07-03,16613.0,10658.0,427.0,22025.0,3638.0,1.0
2019-07-04,16604.0,10445.0,437.0,21868.0,3576.0,1.0
2019-07-05,16040.0,10532.0,400.0,20697.0,2856.0,1.0
2019-07-06,5214.0,6141.0,0.0,6925.0,0.0,1.0
2019-07-07,4065.0,4332.0,0.0,5426.0,0.0,1.0
2019-07-08,13078.0,9442.0,422.0,18848.0,0.0,1.0
2019-07-09,13835.0,10550.0,455.0,19862.0,0.0,1.0
2019-07-10,13856.0,10066.0,421.0,19502.0,0.0,1.0
2019-07-11,12776.0,9536.0,421.0,19204.0,0.0,1.0
2019-07-12,12614.0,9413.0,344.0,18057.0,0.0,1.0
2019-07-13,4606.0,5185.0,0.0,6327.0,0.0,2.0
2019-07-14,3584.0,3486.0,0.0,4761.0,0.0,3.0
2019-07-15,12743.0,9704.0,370.0,19481.0,0.0,2.0
2019-07-16,14025.0,10434.0,421.0,20592.0,0.0,1.8
2019-07-17,13768.0,10689.0,428.0,20550.0,0.0,1.6
2019-07-18,14092.0,10938.0,396.0,20989.0,0.0,1.4
2019-07-19,13846.0,11150.0,325.0,20012.0,0.0,1.2000000000000002
2019-07-20,5057.0,6692.0,0.0,7379.0,0.0,1.0
2019-07-21,4045.0,4739.0,0.0,6000.0,0.0,1.0
2019-07-22,18376.0,11664.0,440.0,24147.0,5332.0,1.0
2019-07-23,19392.0,12180.0,461.0,25344.0,5935.0,1.0
2019-07-24,19380.0,12044.0,463.0,25312.0,5786.0,1.0
2019-07-25,19619.0,12257.0,432.0,25284.0,5845.0,1.5
2019-07-26,18698.0,12296.0,298.0,24258.0,5634.0,2.0
2019-07-27,5383.0,6522.0,0.0,8231.0,0.0,1.0
2019-07-28,4187.0,4398.0,0.0,5751.0,0.0,3.0
2019-07-29,18743.0,11530.0,408.0,24273.0,5962.0,13.0
2019-07-30,19887.0,12553.0,457.0,25617.0,5765.0,15.0
2019-07-31,19599.0,12447.0,478.0,25342.0,5736.0,8.0
2019-08-01,19950.0,12601.0,459.0,25864.0,5754.0,1.0
2019-08-02,18953.0,12744.0,340.0,25010.0,5738.0,2.7142857142857144
2019-08-03,5447.0,7090.0,0.0,7922.0,0.0,4.428571428571429
